frame,x_0,y_0,z_0,v_0,x_1,y_1,z_1,v_1,x_2,y_2,z_2,v_2,x_3,y_3,z_3,v_3,x_4,y_4,z_4,v_4,x_5,y_5,z_5,v_5,x_6,y_6,z_6,v_6,x_7,y_7,z_7,v_7,x_8,y_8,z_8,v_8,x_9,y_9,z_9,v_9,x_10,y_10,z_10,v_10,x_11,y_11,z_11,v_11,x_12,y_12,z_12,v_12,x_13,y_13,z_13,v_13,x_14,y_14,z_14,v_14,x_15,y_15,z_15,v_15,x_16,y_16,z_16,v_16,x_17,y_17,z_17,v_17,x_18,y_18,z_18,v_18,x_19,y_19,z_19,v_19,x_20,y_20,z_20,v_20,x_21,y_21,z_21,v_21,x_22,y_22,z_22,v_22,x_23,y_23,z_23,v_23,x_24,y_24,z_24,v_24,x_25,y_25,z_25,v_25,x_26,y_26,z_26,v_26,x_27,y_27,z_27,v_27,x_28,y_28,z_28,v_28,x_29,y_29,z_29,v_29,x_30,y_30,z_30,v_30,x_31,y_31,z_31,v_31,x_32,y_32,z_32,v_32
0,0.6820158958435059,0.35946160554885864,-0.14192500710487366,0.9941017031669617,0.6901484727859497,0.3481624126434326,-0.12272679805755615,0.9956150054931641,0.6884233951568604,0.34658724069595337,-0.12294859439134598,0.9954953193664551,0.6865496635437012,0.3447834253311157,-0.12313797324895859,0.9964205026626587,0.689964771270752,0.3484368324279785,-0.18659678101539612,0.9955991506576538,0.6884447336196899,0.3472781181335449,-0.18673481047153473,0.9947226047515869,0.6868075132369995,0.34593528509140015,-0.18689510226249695,0.996512234210968,0.6624752283096313,0.3358067274093628,-0.024745462462306023,0.991771399974823,0.6634783744812012,0.33773016929626465,-0.3101029396057129,0.9946834444999695,0.6581562161445618,0.36096465587615967,-0.09722587466239929,0.9942402839660645,0.657380223274231,0.36108219623565674,-0.18057818710803986,0.996891438961029,0.5627339482307434,0.36050307750701904,0.1793995350599289,0.9968774318695068,0.5634616613388062,0.3720371723175049,-0.447126567363739,0.999891996383667,0.5117847919464111,0.4429684281349182,0.23441030085086823,0.021099047735333443,0.5218569040298462,0.46204203367233276,-0.4375552833080292,0.9277693033218384,0.5077973008155823,0.5131138563156128,0.1269448846578598,0.02654266357421875,0.5329443216323853,0.5457765460014343,-0.19857709109783173,0.7156971096992493,0.5094844102859497,0.5324521660804749,0.1318526268005371,0.0356123149394989,0.535876452922821,0.5609580874443054,-0.22193345427513123,0.7020037174224854,0.5123977661132812,0.5331052541732788,0.0907597616314888,0.0367872528731823,0.5432870388031006,0.5606940388679504,-0.2056180089712143,0.6951578855514526,0.5082805752754211,0.5272288918495178,0.10391413420438766,0.04171888530254364,0.5369159579277039,0.555290699005127,-0.18462145328521729,0.6381593942642212,0.3755899965763092,0.4720233976840973,0.20327207446098328,0.9971936941146851,0.3590564727783203,0.48085635900497437,-0.2030165195465088,0.999394416809082,0.44480758905410767,0.5791453719139099,0.4411980211734772,0.3076448142528534,0.43516793847084045,0.6022357940673828,-0.09566859900951385,0.9851639270782471,0.4242093861103058,0.6889190673828125,0.7219166159629822,0.4777640998363495,0.40472012758255005,0.7344709038734436,0.018030870705842972,0.985079824924469,0.4120660424232483,0.7011948823928833,0.7449836134910583,0.4528239071369171,0.3802174925804138,0.754353404045105,0.021487127989530563,0.965731680393219,0.5164329409599304,0.7050214409828186,0.7134147882461548,0.6510666608810425,0.514100968837738,0.7540678977966309,-0.08985607326030731,0.9792822599411011
1,0.6838206648826599,0.35804834961891174,-0.14192511141300201,0.9942902326583862,0.691110372543335,0.3465906083583832,-0.12243331223726273,0.9957486987113953,0.6894652247428894,0.34519195556640625,-0.1226598396897316,0.9956222772598267,0.6876159906387329,0.34357553720474243,-0.12285299599170685,0.9965347051620483,0.690619170665741,0.3466940224170685,-0.18653713166713715,0.9957372546195984,0.6889297962188721,0.34554749727249146,-0.18667197227478027,0.9948726892471313,0.6871013045310974,0.34418386220932007,-0.18682992458343506,0.9966166615486145,0.6631454825401306,0.3350944519042969,-0.02256004884839058,0.9920744299888611,0.6634771227836609,0.3357916474342346,-0.30992305278778076,0.9948374629020691,0.6611499786376953,0.36057454347610474,-0.09716170281171799,0.9944418668746948,0.6600863337516785,0.3605579733848572,-0.18060311675071716,0.9970070719718933,0.5640100836753845,0.3609215319156647,0.17913702130317688,0.9968550205230713,0.5617241859436035,0.3724234104156494,-0.44737422466278076,0.9998899102210999,0.5108041763305664,0.44042640924453735,0.23485930263996124,0.022248581051826477,0.520865261554718,0.4627608358860016,-0.4487222135066986,0.9284795522689819,0.5201531648635864,0.5162947177886963,0.1388506442308426,0.027050303295254707,0.5338003635406494,0.5460091829299927,-0.2441815435886383,0.7205195426940918,0.5237140655517578,0.5352126359939575,0.14565888047218323,0.03608930855989456,0.5365490913391113,0.5626041293144226,-0.2726894021034241,0.7056286334991455,0.525770902633667,0.5368562936782837,0.10370660573244095,0.037259411066770554,0.5436088442802429,0.5621976256370544,-0.26034075021743774,0.6988664865493774,0.5158947706222534,0.5350032448768616,0.11590839922428131,0.04226182401180267,0.5380268692970276,0.5568829774856567,-0.23316334187984467,0.6420535445213318,0.3768804371356964,0.47202378511428833,0.20302295684814453,0.9970592260360718,0.3587789833545685,0.4808286726474762,-0.20278127491474152,0.999362051486969,0.45225203037261963,0.5786782503128052,0.40238553285598755,0.3163372874259949,0.4352000653743744,0.6021682024002075,-0.12448498606681824,0.9851388335227966,0.42864689230918884,0.6894140839576721,0.6573808193206787,0.48345664143562317,0.4054766893386841,0.7333794832229614,-0.02145269885659218,0.9852339029312134,0.4162428081035614,0.7034221291542053,0.6773098707199097,0.45641854405403137,0.3800574839115143,0.7541326284408569,-0.019013581797480583,0.9657254815101624,0.5188716650009155,0.7129349708557129,0.640404462814331,0.6528072953224182,0.5131075978279114,0.7541053891181946,-0.1359069049358368,0.9792769551277161
2,0.6849513649940491,0.3571471571922302,-0.14181923866271973,0.9944634437561035,0.6917866468429565,0.34560930728912354,-0.12193591892719269,0.9958712458610535,0.6901874542236328,0.34429413080215454,-0.12216704338788986,0.9957395195960999,0.6883493661880493,0.34277504682540894,-0.12236391752958298,0.9966393709182739,0.6910954713821411,0.34562215209007263,-0.1862645000219345,0.9958636164665222,0.689289391040802,0.344469279050827,-0.18639430403709412,0.9950106739997864,0.68732088804245,0.34308621287345886,-0.18654869496822357,0.9967123866081238,0.6635975241661072,0.3345786929130554,-0.021092288196086884,0.9923529624938965,0.6634702682495117,0.3346097469329834,-0.3094366490840912,0.994978666305542,0.6627528071403503,0.3602420687675476,-0.09693682938814163,0.9946256279945374,0.6615440845489502,0.36012977361679077,-0.18055233359336853,0.9971122145652771,0.5648428201675415,0.36141031980514526,0.1788536012172699,0.9968308806419373,0.5602443814277649,0.37259161472320557,-0.4473434388637543,0.9998877048492432,0.5103539228439331,0.43939265608787537,0.23510828614234924,0.023307153955101967,0.5201264023780823,0.46313032507896423,-0.4505806863307953,0.928989827632904,0.52437424659729,0.517716646194458,0.14322954416275024,0.027491770684719086,0.534253716468811,0.5461041927337646,-0.24820072948932648,0.7243918180465698,0.5281786918640137,0.5364745855331421,0.15030597150325775,0.03649575635790825,0.536946177482605,0.563378632068634,-0.27642515301704407,0.708473265171051,0.5300034284591675,0.5384073853492737,0.10843914747238159,0.03766311705112457,0.5437937378883362,0.5629424452781677,-0.26466014981269836,0.7017995715141296,0.5184983611106873,0.5376110076904297,0.12040819227695465,0.04273593798279762,0.5386328101158142,0.5576550364494324,-0.23743025958538055,0.6451806426048279,0.3777509927749634,0.4720434546470642,0.20262187719345093,0.9969335198402405,0.3585190773010254,0.48081809282302856,-0.20239336788654327,0.9993330836296082,0.45504167675971985,0.5782814025878906,0.3959331214427948,0.3243650197982788,0.4352175295352936,0.6021229028701782,-0.13131260871887207,0.9851269125938416,0.43068042397499084,0.6896790862083435,0.6499584317207336,0.48868945240974426,0.40587034821510315,0.7327075600624084,-0.030543891713023186,0.9853653907775879,0.4182868003845215,0.704479992389679,0.669825553894043,0.459538996219635,0.3798586428165436,0.7539736032485962,-0.028282562270760536,0.965673565864563,0.5199756026268005,0.7153689861297607,0.633172333240509,0.6544243097305298,0.5122101306915283,0.7541095018386841,-0.1452920138835907,0.9792561531066895
3,0.6855692863464355,0.35669100284576416,-0.14138831198215485,0.9946135878562927,0.6921966671943665,0.34514856338500977,-0.1210809275507927,0.9959740042686462,0.6906230449676514,0.3438657224178314,-0.12131611257791519,0.9958376884460449,0.6887903213500977,0.3423829674720764,-0.12151629477739334,0.9967277646064758,0.6913970708847046,0.34511977434158325,-0.18563401699066162,0.9959700107574463,0.6895222663879395,0.34395891427993774,-0.1857578307390213,0.9951268434524536,0.6874650716781616,0.34256094694137573,-0.18590806424617767,0.9967926740646362,0.6638744473457336,0.3342755436897278,-0.019708946347236633,0.9925912022590637,0.6634570360183716,0.33401018381118774,-0.30873334407806396,0.9950950741767883,0.6635223627090454,0.3600403070449829,-0.09639120101928711,0.9947845935821533,0.6622419953346252,0.3598718047142029,-0.18025800585746765,0.9972032904624939,0.5654606819152832,0.3616897761821747,0.17880454659461975,0.9968073964118958,0.5593868494033813,0.3726452887058258,-0.447199285030365,0.9998859763145447,0.5101295709609985,0.43877142667770386,0.23565614223480225,0.024296551942825317,0.5196340680122375,0.4633166193962097,-0.4512239992618561,0.9295791983604431,0.5259380340576172,0.5183020830154419,0.14594075083732605,0.027921119704842567,0.5345340371131897,0.5461415648460388,-0.2493913620710373,0.7283828258514404,0.5297750234603882,0.537067174911499,0.15314830839633942,0.036893174052238464,0.5371897220611572,0.563757598400116,-0.27743855118751526,0.711544394493103,0.5316426753997803,0.5390723943710327,0.1114070788025856,0.03805845230817795,0.5439387559890747,0.5633161067962646,-0.2659165561199188,0.7049750089645386,0.5195898413658142,0.5384743213653564,0.12319473922252655,0.043202612549066544,0.5390534996986389,0.5580312013626099,-0.23869885504245758,0.6485350131988525,0.3784697651863098,0.47204428911209106,0.20233063399791718,0.9968212246894836,0.35830605030059814,0.4807625710964203,-0.20211075246334076,0.9993082284927368,0.4566199481487274,0.577892541885376,0.39406725764274597,0.33189529180526733,0.43523114919662476,0.6020579934120178,-0.13456736505031586,0.9851473569869995,0.4319206774234772,0.6898319721221924,0.647925853729248,0.49364468455314636,0.40618234872817993,0.7321886420249939,-0.036224011331796646,0.9855104088783264,0.41965264081954956,0.7048901915550232,0.6677757501602173,0.46252214908599854,0.37976035475730896,0.7537643313407898,-0.03419950604438782,0.9656856656074524,0.5206525921821594,0.7162166833877563,0.6312835812568665,0.6560217142105103,0.511544406414032,0.7541100382804871,-0.1513843536376953,0.9792728424072266
4,0.6859503984451294,0.3564876914024353,-0.1412794142961502,0.994740903377533,0.6925193071365356,0.344953328371048,-0.1207602322101593,0.996056854724884,0.6909661889076233,0.34368300437927246,-0.12099682539701462,0.9959157109260559,0.6891402006149292,0.3422130346298218,-0.12119847536087036,0.9968006014823914,0.6916607022285461,0.34490686655044556,-0.18548081815242767,0.996057391166687,0.6897485852241516,0.3437429368495941,-0.18560193479061127,0.9952211976051331,0.68763267993927,0.34233909845352173,-0.18575039505958557,0.9968581199645996,0.6640939116477966,0.33409255743026733,-0.018992168828845024,0.9927860498428345,0.6634548902511597,0.3336898386478424,-0.30865365266799927,0.9951856136322021,0.6639197468757629,0.3599455952644348,-0.09617878496646881,0.9949182271957397,0.6626062989234924,0.3597468137741089,-0.1802213490009308,0.9972804188728333,0.5656760334968567,0.3619290888309479,0.17880304157733917,0.9967783689498901,0.5586093664169312,0.37269794940948486,-0.44724637269973755,0.999884307384491,0.5098815560340881,0.438511461019516,0.23676753044128418,0.025197485461831093,0.5192524194717407,0.4634936451911926,-0.4534919261932373,0.9302165508270264,0.526809573173523,0.5187996625900269,0.148005872964859,0.028310304507613182,0.5347843170166016,0.546210765838623,-0.25511491298675537,0.7323832511901855,0.5308352708816528,0.5375558137893677,0.15529167652130127,0.03724623844027519,0.5374563336372375,0.5640711188316345,-0.28383105993270874,0.7146758437156677,0.5327273607254028,0.5396395921707153,0.11345631629228592,0.038412224501371384,0.5441213846206665,0.5636163949966431,-0.2720496356487274,0.7081822156906128,0.5204832553863525,0.5392158627510071,0.12521812319755554,0.0436202697455883,0.5394213795661926,0.5583478212356567,-0.24440324306488037,0.6517836451530457,0.3789263367652893,0.4720597267150879,0.20223520696163177,0.99671471118927,0.3582119345664978,0.48074284195899963,-0.20201922953128815,0.9992845058441162,0.45726364850997925,0.5777093768119812,0.3951217234134674,0.33813533186912537,0.43523287773132324,0.6020317077636719,-0.1344430148601532,0.9851637482643127,0.43251878023147583,0.6899579763412476,0.6509614586830139,0.4977774918079376,0.4064101278781891,0.7318375110626221,-0.03546854481101036,0.9856447577476501,0.4202902615070343,0.7051082849502563,0.6710565090179443,0.46509838104248047,0.3797215223312378,0.7535459995269775,-0.033363644033670425,0.965721607208252,0.5210513472557068,0.716408908367157,0.6342334151268005,0.6572434306144714,0.5110517144203186,0.7541106343269348,-0.15098510682582855,0.9792875051498413
5,0.6861823797225952,0.356423556804657,-0.14110873639583588,0.9948392510414124,0.6927544474601746,0.34487736225128174,-0.12035118788480759,0.9961177706718445,0.6912103295326233,0.34360450506210327,-0.12058798223733902,0.9959715604782104,0.6893832087516785,0.3421310484409332,-0.12079007923603058,0.9968555569648743,0.6918902397155762,0.34484225511550903,-0.18531207740306854,0.996124267578125,0.6899734735488892,0.3436851501464844,-0.18543067574501038,0.9952921271324158,0.6878318190574646,0.342285692691803,-0.18557758629322052,0.9969074130058289,0.6642270088195801,0.33398503065109253,-0.01803334802389145,0.9929324984550476,0.6634541153907776,0.33356043696403503,-0.30863744020462036,0.9952503442764282,0.6641408205032349,0.35991403460502625,-0.09583604335784912,0.9950231313705444,0.6628382205963135,0.35971003770828247,-0.18016588687896729,0.9973413944244385,0.5656840205192566,0.3621348738670349,0.17929819226264954,0.9967439770698547,0.5581458806991577,0.37284767627716064,-0.44762954115867615,0.9998829960823059,0.5089776515960693,0.4386233389377594,0.23898857831954956,0.025980940088629723,0.5189980864524841,0.4637064039707184,-0.4568343758583069,0.9309602379798889,0.5271115899085999,0.5193051099777222,0.14956413209438324,0.028630133718252182,0.5350273847579956,0.5463594794273376,-0.26194798946380615,0.7364344000816345,0.5313373804092407,0.5380364656448364,0.15686997771263123,0.037522196769714355,0.5377589464187622,0.5643666386604309,-0.29152947664260864,0.7178899645805359,0.5331611037254333,0.5401864051818848,0.11485867947340012,0.038688238710165024,0.5443201065063477,0.5638982653617859,-0.2790888249874115,0.7114346623420715,0.5207769274711609,0.5398962497711182,0.12667030096054077,0.043944668024778366,0.5397428274154663,0.5586584210395813,-0.25103074312210083,0.6549240350723267,0.3790413439273834,0.47209662199020386,0.202251598238945,0.9966117739677429,0.35818982124328613,0.48074132204055786,-0.202037051320076,0.9992626309394836,0.4568222165107727,0.5782167315483093,0.3977474272251129,0.3431118130683899,0.4352301359176636,0.6020299196243286,-0.13465088605880737,0.9851956367492676,0.4330388903617859,0.6900805830955505,0.6561594009399414,0.5008960366249084,0.40654170513153076,0.7315865159034729,-0.03508847951889038,0.9857740998268127,0.4200790822505951,0.7064284086227417,0.6765249967575073,0.46697917580604553,0.37970665097236633,0.7533630728721619,-0.03293802589178085,0.9657686948776245,0.5214107632637024,0.7165980935096741,0.6393184661865234,0.657985270023346,0.5108015537261963,0.7540875673294067,-0.15148766338825226,0.9793078899383545
6,0.6863998174667358,0.3563479781150818,-0.1410088986158371,0.994929313659668,0.6929401159286499,0.3447995185852051,-0.12010257691144943,0.9961721301078796,0.6913986206054688,0.3435288369655609,-0.1203392893075943,0.996019721031189,0.6895686388015747,0.3420562148094177,-0.1205415278673172,0.9969038367271423,0.6920648217201233,0.3447584807872772,-0.1851908564567566,0.9961852431297302,0.6901347637176514,0.3436005711555481,-0.18530739843845367,0.9953566193580627,0.6879642009735107,0.3421976566314697,-0.18545307219028473,0.9969525933265686,0.6643210053443909,0.3338950276374817,-0.01737394370138645,0.993060290813446,0.6634492874145508,0.3334273099899292,-0.3085450828075409,0.995307981967926,0.6643130779266357,0.35987794399261475,-0.09559239447116852,0.9951198697090149,0.6629989743232727,0.3596634864807129,-0.18010666966438293,0.9973980784416199,0.565693199634552,0.36226171255111694,0.17967870831489563,0.9967063069343567,0.5579261779785156,0.3728518486022949,-0.4476874768733978,0.9998818039894104,0.5083849430084229,0.4387059807777405,0.2404620349407196,0.02669607475399971,0.5188602805137634,0.4637349247932434,-0.45771852135658264,0.9315513968467712,0.5272817015647888,0.5196146368980408,0.1508679836988449,0.028892571106553078,0.535149872303009,0.546420156955719,-0.2642664909362793,0.7400144934654236,0.5316284894943237,0.5383970141410828,0.15816563367843628,0.037727441638708115,0.5379021763801575,0.5645435452461243,-0.2941802740097046,0.720694899559021,0.5334834456443787,0.5406082272529602,0.1160961166024208,0.03889266029000282,0.5444084405899048,0.5640936493873596,-0.28161969780921936,0.7142690420150757,0.5211436152458191,0.5402174592018127,0.1279478818178177,0.04418521746993065,0.5398945212364197,0.5588513612747192,-0.25334134697914124,0.6576511859893799,0.3791247010231018,0.47216081619262695,0.20225034654140472,0.996514618396759,0.3581324815750122,0.48073992133140564,-0.20203615725040436,0.9992413520812988,0.45640072226524353,0.5786481499671936,0.39817145466804504,0.3476155400276184,0.4352146089076996,0.6020288467407227,-0.13408245146274567,0.9852151870727539,0.433419793844223,0.6901935935020447,0.6567590832710266,0.5038547515869141,0.40662872791290283,0.7313981056213379,-0.03365549072623253,0.9858884215354919,0.4199219048023224,0.7071530222892761,0.6771270036697388,0.4688084125518799,0.3797031044960022,0.753178596496582,-0.03137543797492981,0.9657894968986511,0.521835207939148,0.7168189287185669,0.6391692161560059,0.658656895160675,0.510690450668335,0.7540781497955322,-0.15004569292068481,0.9793151021003723
7,0.6865399479866028,0.35626256465911865,-0.14103929698467255,0.9950424432754517,0.6930367350578308,0.3447186052799225,-0.12010610103607178,0.9962465763092041,0.6914973258972168,0.34345465898513794,-0.12034279853105545,0.9960900545120239,0.6896676421165466,0.34198862314224243,-0.12054505944252014,0.9969668388366699,0.6921431422233582,0.34466519951820374,-0.18520662188529968,0.9962657690048218,0.6901984214782715,0.34350377321243286,-0.1853226274251938,0.9954469799995422,0.6880067586898804,0.34209543466567993,-0.18546798825263977,0.9970139265060425,0.6643850803375244,0.33383870124816895,-0.017392365261912346,0.9932164549827576,0.6634311079978943,0.3333204984664917,-0.3085443377494812,0.9953917264938354,0.6644342541694641,0.35983210802078247,-0.09559285640716553,0.9952360987663269,0.6631084680557251,0.3596046566963196,-0.18013913929462433,0.997465968132019,0.5657328963279724,0.3623517155647278,0.17967288196086884,0.9966803193092346,0.5576359629631042,0.37283855676651,-0.4477413594722748,0.9998811483383179,0.5079876184463501,0.43872109055519104,0.24061806499958038,0.027389155700802803,0.51859050989151,0.4637361466884613,-0.4583226442337036,0.9320904016494751,0.5273151993751526,0.5196284055709839,0.15088365972042084,0.029173264279961586,0.5351959466934204,0.5464438199996948,-0.2664661705493927,0.7433431148529053,0.5317116379737854,0.5385303497314453,0.1581803262233734,0.037957049906253815,0.5379574298858643,0.5646630525588989,-0.296421080827713,0.7233344912528992,0.5335237383842468,0.5407593846321106,0.11606733500957489,0.039121177047491074,0.5444319248199463,0.5642409324645996,-0.28403836488723755,0.7169350981712341,0.5211446285247803,0.5403127074241638,0.12796351313591003,0.044451721012592316,0.5399552583694458,0.558972954750061,-0.25563231110572815,0.6602265238761902,0.3793097734451294,0.4722178876399994,0.20220063626766205,0.9964346289634705,0.3580577075481415,0.48073258996009827,-0.20198847353458405,0.9992258548736572,0.4573157727718353,0.5783572196960449,0.39783138036727905,0.35281458497047424,0.43519991636276245,0.6020243763923645,-0.13622388243675232,0.985299825668335,0.4337722659111023,0.6902638673782349,0.6555301547050476,0.5075676441192627,0.4066847860813141,0.73125159740448,-0.03909532353281975,0.9860467314720154,0.4198340177536011,0.7074742317199707,0.6757647395133972,0.47122886776924133,0.3796897530555725,0.7530050277709961,-0.03720426186919212,0.9658940434455872,0.5222851037979126,0.7169500589370728,0.6374289393424988,0.6600354909896851,0.5106218457221985,0.754050612449646,-0.1569751352071762,0.9793969392776489
8,0.68686443567276,0.35615214705467224,-0.1428583413362503,0.995181143283844,0.6933417916297913,0.344611793756485,-0.12184276431798935,0.9963366985321045,0.6918094158172607,0.34335893392562866,-0.12207676470279694,0.996177077293396,0.6899821162223816,0.3419058620929718,-0.12227893620729446,0.9970430731773376,0.6924307346343994,0.34454166889190674,-0.18703070282936096,0.9963604807853699,0.6904754638671875,0.34337982535362244,-0.18714231252670288,0.9955556988716125,0.6882550716400146,0.3419717252254486,-0.1872834712266922,0.9970874190330505,0.6646047234535217,0.33378109335899353,-0.018626315519213676,0.9933937191963196,0.6634597182273865,0.3331945538520813,-0.3100305199623108,0.9954888820648193,0.6646766066551208,0.35978347063064575,-0.0971052497625351,0.9953724145889282,0.6633355617523193,0.35953882336616516,-0.18186263740062714,0.9975424408912659,0.5657946467399597,0.36265119910240173,0.17903347313404083,0.9966729283332825,0.5572441816329956,0.37286701798439026,-0.44950130581855774,0.9998815059661865,0.5100225806236267,0.4395314157009125,0.24077123403549194,0.028239237144589424,0.5185933113098145,0.46398478746414185,-0.4624866843223572,0.9331956505775452,0.5279982686042786,0.5202063918113708,0.1518741250038147,0.02955557405948639,0.53529953956604,0.5466785430908203,-0.27787119150161743,0.7485255002975464,0.5327075719833374,0.5389688014984131,0.15951459109783173,0.03827190399169922,0.5379819869995117,0.5649791359901428,-0.3092159032821655,0.727728009223938,0.5364975333213806,0.5420847535133362,0.11707557737827301,0.03943781554698944,0.5444595813751221,0.5644902586936951,-0.2968473732471466,0.7213741540908813,0.5251277685165405,0.5398708581924438,0.12891460955142975,0.044823385775089264,0.5400209426879883,0.5592349767684937,-0.2672181725502014,0.6646250486373901,0.3794541656970978,0.47227057814598083,0.20217765867710114,0.9963800311088562,0.3579159080982208,0.48066654801368713,-0.2019672989845276,0.9992159008979797,0.45704221725463867,0.5787011384963989,0.39734336733818054,0.3563552498817444,0.43520134687423706,0.6020216345787048,-0.13834907114505768,0.9853816032409668,0.43408462405204773,0.6904093623161316,0.6544125080108643,0.5104838609695435,0.40679216384887695,0.731168270111084,-0.042931437492370605,0.9862076044082642,0.4197521209716797,0.7075634598731995,0.6745815873146057,0.4733545780181885,0.3796825408935547,0.7528893351554871,-0.04116829112172127,0.9660640954971313,0.5222609043121338,0.7184408903121948,0.6356037855148315,0.6608850359916687,0.5106028914451599,0.7541087865829468,-0.16130101680755615,0.9794892072677612
9,0.6870447993278503,0.3560813069343567,-0.14520679414272308,0.9953123331069946,0.6935107707977295,0.3445480763912201,-0.12410786747932434,0.9964213967323303,0.691988468170166,0.34330350160598755,-0.12434034049510956,0.996259868144989,0.6901694536209106,0.34186023473739624,-0.12454172968864441,0.9971133470535278,0.6925783753395081,0.3444744944572449,-0.18954642117023468,0.9964497685432434,0.6906136274337769,0.3433171212673187,-0.1896561086177826,0.9956594705581665,0.6883733868598938,0.3419131636619568,-0.18979579210281372,0.9971558451652527,0.6648144125938416,0.33377090096473694,-0.02027779631316662,0.9935503005981445,0.6634836196899414,0.3331611156463623,-0.3127557933330536,0.9955819845199585,0.664857029914856,0.3597477972507477,-0.09910833835601807,0.9954981207847595,0.6635065674781799,0.3594997227191925,-0.18429063260555267,0.9976148009300232,0.5659986138343811,0.3627682328224182,0.17823238670825958,0.9966759085655212,0.5570569634437561,0.3728778064250946,-0.4525410532951355,0.999882161617279,0.5100126266479492,0.43945494294166565,0.24077928066253662,0.02900063805282116,0.5185538530349731,0.46404600143432617,-0.46740061044692993,0.9342886805534363,0.5281559228897095,0.5203116536140442,0.15177808701992035,0.030048206448554993,0.5353149175643921,0.5467499494552612,-0.2852630317211151,0.7538455724716187,0.5329596996307373,0.5391020178794861,0.15944717824459076,0.03874471038579941,0.5379825830459595,0.5650929808616638,-0.3171112537384033,0.7323815226554871,0.5377060174942017,0.542574405670166,0.11675551533699036,0.039919525384902954,0.5444635152816772,0.5645856261253357,-0.3048405647277832,0.7260808944702148,0.5266560316085815,0.5396187901496887,0.12872180342674255,0.04537033662199974,0.5400439500808716,0.559332549571991,-0.2746729254722595,0.669297993183136,0.3799135982990265,0.47229352593421936,0.20220470428466797,0.9963375329971313,0.35788318514823914,0.48061951994895935,-0.2019961178302765,0.9992102384567261,0.45786917209625244,0.5782250165939331,0.39865440130233765,0.36091166734695435,0.4352032542228699,0.6020163893699646,-0.14190888404846191,0.9855326414108276,0.43431493639945984,0.6904431581497192,0.6571208238601685,0.514551043510437,0.40683606266975403,0.7311132550239563,-0.049183156341314316,0.9864272475242615,0.41968217492103577,0.7075037956237793,0.6774627566337585,0.47653061151504517,0.37967920303344727,0.7528026103973389,-0.047768376767635345,0.966361403465271,0.522457480430603,0.7180997729301453,0.63877272605896,0.6628730297088623,0.5105968713760376,0.7541288137435913,-0.16969068348407745,0.9796825647354126
