frame,x_0,y_0,z_0,v_0,x_1,y_1,z_1,v_1,x_2,y_2,z_2,v_2,x_3,y_3,z_3,v_3,x_4,y_4,z_4,v_4,x_5,y_5,z_5,v_5,x_6,y_6,z_6,v_6,x_7,y_7,z_7,v_7,x_8,y_8,z_8,v_8,x_9,y_9,z_9,v_9,x_10,y_10,z_10,v_10,x_11,y_11,z_11,v_11,x_12,y_12,z_12,v_12,x_13,y_13,z_13,v_13,x_14,y_14,z_14,v_14,x_15,y_15,z_15,v_15,x_16,y_16,z_16,v_16,x_17,y_17,z_17,v_17,x_18,y_18,z_18,v_18,x_19,y_19,z_19,v_19,x_20,y_20,z_20,v_20,x_21,y_21,z_21,v_21,x_22,y_22,z_22,v_22,x_23,y_23,z_23,v_23,x_24,y_24,z_24,v_24,x_25,y_25,z_25,v_25,x_26,y_26,z_26,v_26,x_27,y_27,z_27,v_27,x_28,y_28,z_28,v_28,x_29,y_29,z_29,v_29,x_30,y_30,z_30,v_30,x_31,y_31,z_31,v_31,x_32,y_32,z_32,v_32,predicted_phase
0,0.6820158958435059,0.3594616055488586,-0.1419250071048736,0.9941017031669616,0.6901484727859497,0.3481624126434326,-0.1227267980575561,0.995615005493164,0.6884233951568604,0.3465872406959533,-0.1229485943913459,0.9954953193664552,0.6865496635437012,0.3447834253311157,-0.1231379732489585,0.9964205026626588,0.689964771270752,0.3484368324279785,-0.1865967810153961,0.9955991506576538,0.6884447336196899,0.3472781181335449,-0.1867348104715347,0.9947226047515868,0.6868075132369995,0.3459352850914001,-0.1868951022624969,0.996512234210968,0.6624752283096313,0.3358067274093628,-0.024745462462306,0.991771399974823,0.6634783744812012,0.3377301692962646,-0.3101029396057129,0.9946834444999696,0.6581562161445618,0.3609646558761596,-0.0972258746623992,0.9942402839660645,0.657380223274231,0.3610821962356567,-0.1805781871080398,0.996891438961029,0.5627339482307434,0.360503077507019,0.1793995350599289,0.9968774318695068,0.5634616613388062,0.3720371723175049,-0.447126567363739,0.999891996383667,0.5117847919464111,0.4429684281349182,0.2344103008508682,0.0210990477353334,0.5218569040298462,0.4620420336723327,-0.4375552833080292,0.9277693033218384,0.5077973008155823,0.5131138563156128,0.1269448846578598,0.0265426635742187,0.5329443216323853,0.5457765460014343,-0.1985770910978317,0.7156971096992493,0.5094844102859497,0.5324521660804749,0.1318526268005371,0.0356123149394989,0.535876452922821,0.5609580874443054,-0.2219334542751312,0.7020037174224854,0.5123977661132812,0.5331052541732788,0.0907597616314888,0.0367872528731823,0.5432870388031006,0.5606940388679504,-0.2056180089712143,0.6951578855514526,0.5082805752754211,0.5272288918495178,0.1039141342043876,0.0417188853025436,0.5369159579277039,0.555290699005127,-0.1846214532852172,0.6381593942642212,0.3755899965763092,0.4720233976840973,0.2032720744609832,0.9971936941146852,0.3590564727783203,0.4808563590049743,-0.2030165195465088,0.999394416809082,0.4448075890541076,0.5791453719139099,0.4411980211734772,0.3076448142528534,0.4351679384708404,0.6022357940673828,-0.0956685990095138,0.9851639270782472,0.4242093861103058,0.6889190673828125,0.7219166159629822,0.4777640998363495,0.40472012758255,0.7344709038734436,0.0180308707058429,0.985079824924469,0.4120660424232483,0.7011948823928833,0.7449836134910583,0.4528239071369171,0.3802174925804138,0.754353404045105,0.0214871279895305,0.965731680393219,0.5164329409599304,0.7050214409828186,0.7134147882461548,0.6510666608810425,0.514100968837738,0.7540678977966309,-0.0898560732603073,0.9792822599411012,Unknown
1,0.6838206648826599,0.3580483496189117,-0.141925111413002,0.9942902326583862,0.691110372543335,0.3465906083583832,-0.1224333122372627,0.9957486987113952,0.6894652247428894,0.3451919555664062,-0.1226598396897316,0.9956222772598268,0.6876159906387329,0.3435755372047424,-0.1228529959917068,0.9965347051620485,0.690619170665741,0.3466940224170685,-0.1865371316671371,0.9957372546195984,0.6889297962188721,0.3455474972724914,-0.1866719722747802,0.9948726892471312,0.6871013045310974,0.34418386220932,-0.186829924583435,0.9966166615486144,0.6631454825401306,0.3350944519042969,-0.0225600488483905,0.9920744299888612,0.6634771227836609,0.3357916474342346,-0.3099230527877807,0.9948374629020692,0.6611499786376953,0.3605745434761047,-0.0971617028117179,0.9944418668746948,0.6600863337516785,0.3605579733848572,-0.1806031167507171,0.9970070719718932,0.5640100836753845,0.3609215319156647,0.1791370213031768,0.9968550205230712,0.5617241859436035,0.3724234104156494,-0.4473742246627807,0.9998899102211,0.5108041763305664,0.4404264092445373,0.2348593026399612,0.0222485810518264,0.520865261554718,0.4627608358860016,-0.4487222135066986,0.928479552268982,0.5201531648635864,0.5162947177886963,0.1388506442308426,0.0270503032952547,0.5338003635406494,0.5460091829299927,-0.2441815435886383,0.7205195426940918,0.5237140655517578,0.5352126359939575,0.1456588804721832,0.0360893085598945,0.5365490913391113,0.5626041293144226,-0.2726894021034241,0.7056286334991455,0.525770902633667,0.5368562936782837,0.1037066057324409,0.0372594110667705,0.5436088442802429,0.5621976256370544,-0.2603407502174377,0.6988664865493774,0.5158947706222534,0.5350032448768616,0.1159083992242813,0.0422618240118026,0.5380268692970276,0.5568829774856567,-0.2331633418798446,0.6420535445213318,0.3768804371356964,0.4720237851142883,0.2030229568481445,0.9970592260360718,0.3587789833545685,0.4808286726474762,-0.2027812749147415,0.999362051486969,0.4522520303726196,0.5786782503128052,0.4023855328559875,0.3163372874259949,0.4352000653743744,0.6021682024002075,-0.1244849860668182,0.9851388335227966,0.4286468923091888,0.6894140839576721,0.6573808193206787,0.4834566414356231,0.4054766893386841,0.7333794832229614,-0.0214526988565921,0.9852339029312134,0.4162428081035614,0.7034221291542053,0.6773098707199097,0.4564185440540313,0.3800574839115143,0.7541326284408569,-0.0190135817974805,0.9657254815101624,0.5188716650009155,0.7129349708557129,0.640404462814331,0.6528072953224182,0.5131075978279114,0.7541053891181946,-0.1359069049358368,0.979276955127716,Unknown
2,0.6849513649940491,0.3571471571922302,-0.1418192386627197,0.9944634437561036,0.6917866468429565,0.3456093072891235,-0.1219359189271926,0.9958712458610536,0.6901874542236328,0.3442941308021545,-0.1221670433878898,0.9957395195961,0.6883493661880493,0.3427750468254089,-0.1223639175295829,0.996639370918274,0.6910954713821411,0.3456221520900726,-0.1862645000219345,0.9958636164665222,0.689289391040802,0.344469279050827,-0.1863943040370941,0.9950106739997864,0.68732088804245,0.3430862128734588,-0.1865486949682235,0.9967123866081238,0.6635975241661072,0.3345786929130554,-0.0210922881960868,0.9923529624938964,0.6634702682495117,0.3346097469329834,-0.3094366490840912,0.994978666305542,0.6627528071403503,0.3602420687675476,-0.0969368293881416,0.9946256279945374,0.6615440845489502,0.3601297736167907,-0.1805523335933685,0.9971122145652772,0.5648428201675415,0.3614103198051452,0.1788536012172699,0.9968308806419371,0.5602443814277649,0.3725916147232055,-0.4473434388637543,0.9998877048492432,0.5103539228439331,0.4393926560878753,0.2351082861423492,0.0233071539551019,0.5201264023780823,0.4631303250789642,-0.4505806863307953,0.928989827632904,0.52437424659729,0.517716646194458,0.1432295441627502,0.027491770684719,0.534253716468811,0.5461041927337646,-0.2482007294893264,0.7243918180465698,0.5281786918640137,0.5364745855331421,0.1503059715032577,0.0364957563579082,0.536946177482605,0.563378632068634,-0.276425153017044,0.708473265171051,0.5300034284591675,0.5384073853492737,0.1084391474723815,0.0376631170511245,0.5437937378883362,0.5629424452781677,-0.2646601498126983,0.7017995715141296,0.5184983611106873,0.5376110076904297,0.1204081922769546,0.0427359379827976,0.5386328101158142,0.5576550364494324,-0.2374302595853805,0.6451806426048279,0.3777509927749634,0.4720434546470642,0.2026218771934509,0.9969335198402404,0.3585190773010254,0.4808180928230285,-0.2023933678865432,0.9993330836296082,0.4550416767597198,0.5782814025878906,0.3959331214427948,0.3243650197982788,0.4352175295352936,0.6021229028701782,-0.131312608718872,0.9851269125938416,0.4306804239749908,0.6896790862083435,0.6499584317207336,0.4886894524097442,0.4058703482151031,0.7327075600624084,-0.0305438917130231,0.985365390777588,0.4182868003845215,0.704479992389679,0.669825553894043,0.459538996219635,0.3798586428165436,0.7539736032485962,-0.0282825622707605,0.965673565864563,0.5199756026268005,0.7153689861297607,0.633172333240509,0.6544243097305298,0.5122101306915283,0.7541095018386841,-0.1452920138835907,0.9792561531066896,Unknown
3,0.6855692863464355,0.3566910028457641,-0.1413883119821548,0.9946135878562928,0.6921966671943665,0.3451485633850097,-0.1210809275507927,0.9959740042686462,0.6906230449676514,0.3438657224178314,-0.1213161125779151,0.9958376884460448,0.6887903213500977,0.3423829674720764,-0.1215162947773933,0.9967277646064758,0.6913970708847046,0.3451197743415832,-0.1856340169906616,0.9959700107574464,0.6895222663879395,0.3439589142799377,-0.1857578307390213,0.9951268434524536,0.6874650716781616,0.3425609469413757,-0.1859080642461776,0.9967926740646362,0.6638744473457336,0.3342755436897278,-0.0197089463472366,0.9925912022590636,0.6634570360183716,0.3340101838111877,-0.3087333440780639,0.9950950741767884,0.6635223627090454,0.3600403070449829,-0.0963912010192871,0.9947845935821532,0.6622419953346252,0.3598718047142029,-0.1802580058574676,0.997203290462494,0.5654606819152832,0.3616897761821747,0.1788045465946197,0.9968073964118958,0.5593868494033813,0.3726452887058258,-0.447199285030365,0.9998859763145448,0.5101295709609985,0.4387714266777038,0.2356561422348022,0.0242965519428253,0.5196340680122375,0.4633166193962097,-0.4512239992618561,0.9295791983604432,0.5259380340576172,0.5183020830154419,0.145940750837326,0.0279211197048425,0.5345340371131897,0.5461415648460388,-0.2493913620710373,0.7283828258514404,0.5297750234603882,0.537067174911499,0.1531483083963394,0.0368931740522384,0.5371897220611572,0.563757598400116,-0.2774385511875152,0.711544394493103,0.5316426753997803,0.5390723943710327,0.1114070788025856,0.0380584523081779,0.5439387559890747,0.5633161067962646,-0.2659165561199188,0.7049750089645386,0.5195898413658142,0.5384743213653564,0.1231947392225265,0.0432026125490665,0.5390534996986389,0.5580312013626099,-0.2386988550424575,0.6485350131988525,0.3784697651863098,0.472044289112091,0.2023306339979171,0.9968212246894836,0.3583060503005981,0.4807625710964203,-0.2021107524633407,0.9993082284927368,0.4566199481487274,0.577892541885376,0.3940672576427459,0.3318952918052673,0.4352311491966247,0.6020579934120178,-0.1345673650503158,0.9851473569869996,0.4319206774234772,0.6898319721221924,0.647925853729248,0.4936446845531463,0.4061823487281799,0.7321886420249939,-0.0362240113317966,0.9855104088783264,0.4196526408195495,0.7048901915550232,0.6677757501602173,0.4625221490859985,0.3797603547573089,0.7537643313407898,-0.0341995060443878,0.9656856656074524,0.5206525921821594,0.7162166833877563,0.6312835812568665,0.6560217142105103,0.511544406414032,0.7541100382804871,-0.1513843536376953,0.9792728424072266,Unknown
4,0.6859503984451294,0.3564876914024353,-0.1412794142961502,0.994740903377533,0.6925193071365356,0.344953328371048,-0.1207602322101593,0.996056854724884,0.6909661889076233,0.3436830043792724,-0.1209968253970146,0.995915710926056,0.6891402006149292,0.3422130346298218,-0.1211984753608703,0.9968006014823914,0.6916607022285461,0.3449068665504455,-0.1854808181524276,0.996057391166687,0.6897485852241516,0.3437429368495941,-0.1856019347906112,0.9952211976051332,0.68763267993927,0.3423390984535217,-0.1857503950595855,0.9968581199645996,0.6640939116477966,0.3340925574302673,-0.018992168828845,0.9927860498428344,0.6634548902511597,0.3336898386478424,-0.3086536526679992,0.995185613632202,0.6639197468757629,0.3599455952644348,-0.0961787849664688,0.9949182271957396,0.6626062989234924,0.3597468137741089,-0.1802213490009308,0.9972804188728333,0.5656760334968567,0.3619290888309479,0.1788030415773391,0.99677836894989,0.5586093664169312,0.3726979494094848,-0.4472463726997375,0.999884307384491,0.5098815560340881,0.438511461019516,0.2367675304412841,0.025197485461831,0.5192524194717407,0.4634936451911926,-0.4534919261932373,0.9302165508270264,0.526809573173523,0.5187996625900269,0.148005872964859,0.0283103045076131,0.5347843170166016,0.546210765838623,-0.2551149129867553,0.7323832511901855,0.5308352708816528,0.5375558137893677,0.1552916765213012,0.0372462384402751,0.5374563336372375,0.5640711188316345,-0.2838310599327087,0.7146758437156677,0.5327273607254028,0.5396395921707153,0.1134563162922859,0.0384122245013713,0.5441213846206665,0.5636163949966431,-0.2720496356487274,0.7081822156906128,0.5204832553863525,0.5392158627510071,0.1252181231975555,0.0436202697455883,0.5394213795661926,0.5583478212356567,-0.2444032430648803,0.6517836451530457,0.3789263367652893,0.4720597267150879,0.2022352069616317,0.99671471118927,0.3582119345664978,0.4807428419589996,-0.2020192295312881,0.9992845058441162,0.4572636485099792,0.5777093768119812,0.3951217234134674,0.3381353318691253,0.4352328777313232,0.6020317077636719,-0.1344430148601532,0.9851637482643129,0.4325187802314758,0.6899579763412476,0.6509614586830139,0.4977774918079376,0.4064101278781891,0.7318375110626221,-0.0354685448110103,0.98564475774765,0.4202902615070343,0.7051082849502563,0.6710565090179443,0.4650983810424804,0.3797215223312378,0.7535459995269775,-0.0333636440336704,0.965721607208252,0.5210513472557068,0.716408908367157,0.6342334151268005,0.6572434306144714,0.5110517144203186,0.7541106343269348,-0.1509851068258285,0.9792875051498412,Unknown
5,0.6861823797225952,0.356423556804657,-0.1411087363958358,0.9948392510414124,0.6927544474601746,0.3448773622512817,-0.1203511878848075,0.9961177706718444,0.6912103295326233,0.3436045050621032,-0.120587982237339,0.9959715604782104,0.6893832087516785,0.3421310484409332,-0.1207900792360305,0.9968555569648744,0.6918902397155762,0.344842255115509,-0.1853120774030685,0.996124267578125,0.6899734735488892,0.3436851501464844,-0.1854306757450103,0.9952921271324158,0.6878318190574646,0.342285692691803,-0.1855775862932205,0.9969074130058287,0.6642270088195801,0.3339850306510925,-0.0180333480238914,0.9929324984550476,0.6634541153907776,0.333560436964035,-0.3086374402046203,0.9952503442764282,0.6641408205032349,0.3599140346050262,-0.0958360433578491,0.9950231313705444,0.6628382205963135,0.3597100377082824,-0.1801658868789672,0.9973413944244384,0.5656840205192566,0.3621348738670349,0.1792981922626495,0.9967439770698548,0.5581458806991577,0.3728476762771606,-0.4476295411586761,0.999882996082306,0.5089776515960693,0.4386233389377594,0.2389885783195495,0.0259809400886297,0.5189980864524841,0.4637064039707184,-0.4568343758583069,0.9309602379798888,0.5271115899085999,0.5193051099777222,0.1495641320943832,0.0286301337182521,0.5350273847579956,0.5463594794273376,-0.2619479894638061,0.7364344000816345,0.5313373804092407,0.5380364656448364,0.1568699777126312,0.0375221967697143,0.5377589464187622,0.5643666386604309,-0.2915294766426086,0.7178899645805359,0.5331611037254333,0.5401864051818848,0.1148586794734001,0.038688238710165,0.5443201065063477,0.5638982653617859,-0.2790888249874115,0.7114346623420715,0.5207769274711609,0.5398962497711182,0.1266703009605407,0.0439446680247783,0.5397428274154663,0.5586584210395813,-0.2510307431221008,0.6549240350723267,0.3790413439273834,0.4720966219902038,0.202251598238945,0.9966117739677428,0.3581898212432861,0.4807413220405578,-0.202037051320076,0.9992626309394836,0.4568222165107727,0.5782167315483093,0.3977474272251129,0.3431118130683899,0.4352301359176636,0.6020299196243286,-0.1346508860588073,0.9851956367492676,0.4330388903617859,0.6900805830955505,0.6561594009399414,0.5008960366249084,0.4065417051315307,0.7315865159034729,-0.0350884795188903,0.9857740998268129,0.4200790822505951,0.7064284086227417,0.6765249967575073,0.4669791758060455,0.3797066509723663,0.7533630728721619,-0.0329380258917808,0.9657686948776244,0.5214107632637024,0.7165980935096741,0.6393184661865234,0.657985270023346,0.5108015537261963,0.7540875673294067,-0.1514876633882522,0.9793078899383544,Unknown
6,0.6863998174667358,0.3563479781150818,-0.1410088986158371,0.994929313659668,0.6929401159286499,0.3447995185852051,-0.1201025769114494,0.9961721301078796,0.6913986206054688,0.3435288369655609,-0.1203392893075943,0.996019721031189,0.6895686388015747,0.3420562148094177,-0.1205415278673172,0.9969038367271424,0.6920648217201233,0.3447584807872772,-0.1851908564567566,0.9961852431297302,0.6901347637176514,0.3436005711555481,-0.1853073984384536,0.9953566193580629,0.6879642009735107,0.3421976566314697,-0.1854530721902847,0.9969525933265686,0.6643210053443909,0.3338950276374817,-0.0173739437013864,0.993060290813446,0.6634492874145508,0.3334273099899292,-0.3085450828075409,0.995307981967926,0.6643130779266357,0.3598779439926147,-0.0955923944711685,0.9951198697090148,0.6629989743232727,0.3596634864807129,-0.1801066696643829,0.99739807844162,0.565693199634552,0.3622617125511169,0.1796787083148956,0.9967063069343568,0.5579261779785156,0.3728518486022949,-0.4476874768733978,0.9998818039894104,0.5083849430084229,0.4387059807777405,0.2404620349407196,0.0266960747539997,0.5188602805137634,0.4637349247932434,-0.4577185213565826,0.9315513968467712,0.5272817015647888,0.5196146368980408,0.1508679836988449,0.028892571106553,0.535149872303009,0.546420156955719,-0.2642664909362793,0.7400144934654236,0.5316284894943237,0.5383970141410828,0.1581656336784362,0.0377274416387081,0.5379021763801575,0.5645435452461243,-0.2941802740097046,0.720694899559021,0.5334834456443787,0.5406082272529602,0.1160961166024208,0.0388926602900028,0.5444084405899048,0.5640936493873596,-0.2816196978092193,0.7142690420150757,0.5211436152458191,0.5402174592018127,0.1279478818178177,0.0441852174699306,0.5398945212364197,0.5588513612747192,-0.2533413469791412,0.6576511859893799,0.3791247010231018,0.4721608161926269,0.2022503465414047,0.996514618396759,0.3581324815750122,0.4807399213314056,-0.2020361572504043,0.9992413520812988,0.4564007222652435,0.5786481499671936,0.398171454668045,0.3476155400276184,0.4352146089076996,0.6020288467407227,-0.1340824514627456,0.985215187072754,0.433419793844223,0.6901935935020447,0.6567590832710266,0.5038547515869141,0.4066287279129028,0.7313981056213379,-0.0336554907262325,0.985888421535492,0.4199219048023224,0.7071530222892761,0.6771270036697388,0.4688084125518799,0.3797031044960022,0.753178596496582,-0.0313754379749298,0.9657894968986512,0.521835207939148,0.7168189287185669,0.6391692161560059,0.658656895160675,0.510690450668335,0.7540781497955322,-0.1500456929206848,0.9793151021003724,Unknown
7,0.6865399479866028,0.3562625646591186,-0.1410392969846725,0.9950424432754515,0.6930367350578308,0.3447186052799225,-0.1201061010360717,0.996246576309204,0.6914973258972168,0.3434546589851379,-0.1203427985310554,0.996090054512024,0.6896676421165466,0.3419886231422424,-0.1205450594425201,0.99696683883667,0.6921431422233582,0.3446651995182037,-0.1852066218852996,0.9962657690048218,0.6901984214782715,0.3435037732124328,-0.1853226274251938,0.9954469799995422,0.6880067586898804,0.3420954346656799,-0.1854679882526397,0.9970139265060424,0.6643850803375244,0.3338387012481689,-0.0173923652619123,0.9932164549827576,0.6634311079978943,0.3333204984664917,-0.3085443377494812,0.9953917264938354,0.6644342541694641,0.3598321080207824,-0.0955928564071655,0.9952360987663268,0.6631084680557251,0.3596046566963196,-0.1801391392946243,0.997465968132019,0.5657328963279724,0.3623517155647278,0.1796728819608688,0.9966803193092346,0.5576359629631042,0.37283855676651,-0.4477413594722748,0.999881148338318,0.5079876184463501,0.438721090555191,0.2406180649995803,0.0273891557008028,0.51859050989151,0.4637361466884613,-0.4583226442337036,0.9320904016494752,0.5273151993751526,0.5196284055709839,0.1508836597204208,0.0291732642799615,0.5351959466934204,0.5464438199996948,-0.2664661705493927,0.7433431148529053,0.5317116379737854,0.5385303497314453,0.1581803262233734,0.0379570499062538,0.5379574298858643,0.5646630525588989,-0.296421080827713,0.7233344912528992,0.5335237383842468,0.5407593846321106,0.1160673350095748,0.039121177047491,0.5444319248199463,0.5642409324645996,-0.2840383648872375,0.7169350981712341,0.5211446285247803,0.5403127074241638,0.12796351313591,0.0444517210125923,0.5399552583694458,0.558972954750061,-0.2556323111057281,0.6602265238761902,0.3793097734451294,0.4722178876399994,0.202200636267662,0.9964346289634703,0.3580577075481415,0.4807325899600982,-0.201988473534584,0.9992258548736572,0.4573157727718353,0.5783572196960449,0.397831380367279,0.3528145849704742,0.4351999163627624,0.6020243763923645,-0.1362238824367523,0.985299825668335,0.4337722659111023,0.6902638673782349,0.6555301547050476,0.5075676441192627,0.4066847860813141,0.73125159740448,-0.0390953235328197,0.9860467314720154,0.4198340177536011,0.7074742317199707,0.6757647395133972,0.4712288677692413,0.3796897530555725,0.7530050277709961,-0.0372042618691921,0.9658940434455872,0.5222851037979126,0.7169500589370728,0.6374289393424988,0.6600354909896851,0.5106218457221985,0.754050612449646,-0.1569751352071762,0.9793969392776488,Unknown
8,0.68686443567276,0.3561521470546722,-0.1428583413362503,0.995181143283844,0.6933417916297913,0.344611793756485,-0.1218427643179893,0.9963366985321044,0.6918094158172607,0.3433589339256286,-0.1220767647027969,0.996177077293396,0.6899821162223816,0.3419058620929718,-0.1222789362072944,0.9970430731773376,0.6924307346343994,0.3445416688919067,-0.1870307028293609,0.99636048078537,0.6904754638671875,0.3433798253536224,-0.1871423125267028,0.9955556988716124,0.6882550716400146,0.3419717252254486,-0.1872834712266922,0.9970874190330504,0.6646047234535217,0.3337810933589935,-0.0186263155192136,0.9933937191963196,0.6634597182273865,0.3331945538520813,-0.3100305199623108,0.9954888820648192,0.6646766066551208,0.3597834706306457,-0.0971052497625351,0.9953724145889282,0.6633355617523193,0.3595388233661651,-0.1818626374006271,0.997542440891266,0.5657946467399597,0.3626511991024017,0.1790334731340408,0.9966729283332824,0.5572441816329956,0.3728670179843902,-0.4495013058185577,0.9998815059661864,0.5100225806236267,0.4395314157009125,0.2407712340354919,0.0282392371445894,0.5185933113098145,0.4639847874641418,-0.4624866843223572,0.9331956505775452,0.5279982686042786,0.5202063918113708,0.1518741250038147,0.0295555740594863,0.53529953956604,0.5466785430908203,-0.2778711915016174,0.7485255002975464,0.5327075719833374,0.5389688014984131,0.1595145910978317,0.0382719039916992,0.5379819869995117,0.5649791359901428,-0.3092159032821655,0.727728009223938,0.5364975333213806,0.5420847535133362,0.117075577378273,0.0394378155469894,0.5444595813751221,0.5644902586936951,-0.2968473732471466,0.7213741540908813,0.5251277685165405,0.5398708581924438,0.1289146095514297,0.0448233857750892,0.5400209426879883,0.5592349767684937,-0.2672181725502014,0.6646250486373901,0.3794541656970978,0.4722705781459808,0.2021776586771011,0.9963800311088562,0.3579159080982208,0.4806665480136871,-0.2019672989845276,0.9992159008979796,0.4570422172546386,0.5787011384963989,0.3973433673381805,0.3563552498817444,0.435201346874237,0.6020216345787048,-0.1383490711450576,0.9853816032409668,0.4340846240520477,0.6904093623161316,0.6544125080108643,0.5104838609695435,0.4067921638488769,0.731168270111084,-0.0429314374923706,0.9862076044082642,0.4197521209716797,0.7075634598731995,0.6745815873146057,0.4733545780181885,0.3796825408935547,0.7528893351554871,-0.0411682911217212,0.9660640954971312,0.5222609043121338,0.7184408903121948,0.6356037855148315,0.6608850359916687,0.5106028914451599,0.7541087865829468,-0.1613010168075561,0.9794892072677612,Unknown
9,0.6870447993278503,0.3560813069343567,-0.145206794142723,0.9953123331069946,0.6935107707977295,0.3445480763912201,-0.1241078674793243,0.9964213967323304,0.691988468170166,0.3433035016059875,-0.1243403404951095,0.996259868144989,0.6901694536209106,0.3418602347373962,-0.1245417296886444,0.9971133470535278,0.6925783753395081,0.3444744944572449,-0.1895464211702346,0.9964497685432434,0.6906136274337769,0.3433171212673187,-0.1896561086177826,0.9956594705581664,0.6883733868598938,0.3419131636619568,-0.1897957921028137,0.9971558451652528,0.6648144125938416,0.3337709009647369,-0.0202777963131666,0.9935503005981444,0.6634836196899414,0.3331611156463623,-0.3127557933330536,0.9955819845199584,0.664857029914856,0.3597477972507477,-0.099108338356018,0.9954981207847596,0.6635065674781799,0.3594997227191925,-0.1842906326055526,0.9976148009300232,0.5659986138343811,0.3627682328224182,0.1782323867082595,0.9966759085655212,0.5570569634437561,0.3728778064250946,-0.4525410532951355,0.999882161617279,0.5100126266479492,0.4394549429416656,0.2407792806625366,0.0290006380528211,0.5185538530349731,0.4640460014343261,-0.4674006104469299,0.9342886805534364,0.5281559228897095,0.5203116536140442,0.1517780870199203,0.0300482064485549,0.5353149175643921,0.5467499494552612,-0.2852630317211151,0.7538455724716187,0.5329596996307373,0.5391020178794861,0.1594471782445907,0.0387447103857994,0.5379825830459595,0.5650929808616638,-0.3171112537384033,0.7323815226554871,0.5377060174942017,0.542574405670166,0.1167555153369903,0.0399195253849029,0.5444635152816772,0.5645856261253357,-0.3048405647277832,0.7260808944702148,0.5266560316085815,0.5396187901496887,0.1287218034267425,0.0453703366219997,0.5400439500808716,0.559332549571991,-0.2746729254722595,0.669297993183136,0.3799135982990265,0.4722935259342193,0.2022047042846679,0.9963375329971312,0.3578831851482391,0.4806195199489593,-0.2019961178302765,0.999210238456726,0.4578691720962524,0.5782250165939331,0.3986544013023376,0.3609116673469543,0.4352032542228699,0.6020163893699646,-0.1419088840484619,0.9855326414108276,0.4343149363994598,0.6904431581497192,0.6571208238601685,0.514551043510437,0.406836062669754,0.7311132550239563,-0.0491831563413143,0.9864272475242616,0.4196821749210357,0.7075037956237793,0.6774627566337585,0.4765306115150451,0.3796792030334472,0.7528026103973389,-0.0477683767676353,0.966361403465271,0.522457480430603,0.7180997729301453,0.63877272605896,0.6628730297088623,0.5105968713760376,0.7541288137435913,-0.1696906834840774,0.9796825647354126,Unknown
