Run,Val Accuracy,Val Loss,Model Path
19,0.9798657894134521,0.24064186215400696,model/best_of_50\swing_model_run19.h5
35,0.9530201554298401,0.1380666345357895,model/best_of_50\swing_model_run35.h5
46,0.9463087320327759,0.3393581211566925,model/best_of_50\swing_model_run46.h5
48,0.9395973086357117,0.23042646050453186,model/best_of_50\swing_model_run48.h5
1,0.9328858852386475,0.19515565037727356,model/best_of_50\swing_model_run1.h5
9,0.9328858852386475,0.2401997148990631,model/best_of_50\swing_model_run9.h5
39,0.9194630980491638,0.4414704740047455,model/best_of_50\swing_model_run39.h5
28,0.9127516746520996,0.2715153694152832,model/best_of_50\swing_model_run28.h5
18,0.899328887462616,0.2493065893650055,model/best_of_50\swing_model_run18.h5
50,0.899328887462616,0.26451337337493896,model/best_of_50\swing_model_run50.h5
3,0.899328887462616,0.273149311542511,model/best_of_50\swing_model_run3.h5
2,0.8926174640655518,0.2477257251739502,model/best_of_50\swing_model_run2.h5
21,0.8926174640655518,0.21476060152053833,model/best_of_50\swing_model_run21.h5
36,0.8859060406684875,0.2046675831079483,model/best_of_50\swing_model_run36.h5
6,0.8724831938743591,0.4463234841823578,model/best_of_50\swing_model_run6.h5
30,0.8724831938743591,0.2923479974269867,model/best_of_50\swing_model_run30.h5
42,0.8657718300819397,0.2674659192562103,model/best_of_50\swing_model_run42.h5
37,0.8590604066848755,0.4543670117855072,model/best_of_50\swing_model_run37.h5
45,0.8523489832878113,0.44287586212158203,model/best_of_50\swing_model_run45.h5
14,0.8523489832878113,0.46942293643951416,model/best_of_50\swing_model_run14.h5
4,0.8523489832878113,0.4712246358394623,model/best_of_50\swing_model_run4.h5
24,0.8456375598907471,0.2750842571258545,model/best_of_50\swing_model_run24.h5
38,0.8389261960983276,0.3658284842967987,model/best_of_50\swing_model_run38.h5
25,0.8322147727012634,0.3875648081302643,model/best_of_50\swing_model_run25.h5
26,0.8322147727012634,0.5193206071853638,model/best_of_50\swing_model_run26.h5
47,0.8255033493041992,0.3804672658443451,model/best_of_50\swing_model_run47.h5
34,0.8255033493041992,0.3317503035068512,model/best_of_50\swing_model_run34.h5
20,0.818791925907135,0.4672519266605377,model/best_of_50\swing_model_run20.h5
40,0.818791925907135,0.4368138611316681,model/best_of_50\swing_model_run40.h5
13,0.818791925907135,0.3673492670059204,model/best_of_50\swing_model_run13.h5
7,0.8120805621147156,0.4648585021495819,model/best_of_50\swing_model_run7.h5
29,0.8053691387176514,0.3891788423061371,model/best_of_50\swing_model_run29.h5
43,0.8053691387176514,0.3552844226360321,model/best_of_50\swing_model_run43.h5
22,0.7986577153205872,0.39779603481292725,model/best_of_50\swing_model_run22.h5
27,0.7986577153205872,0.522196352481842,model/best_of_50\swing_model_run27.h5
15,0.7986577153205872,0.475892037153244,model/best_of_50\swing_model_run15.h5
10,0.791946291923523,0.506719172000885,model/best_of_50\swing_model_run10.h5
31,0.7852349281311035,0.44632357358932495,model/best_of_50\swing_model_run31.h5
33,0.7852349281311035,0.5643914341926575,model/best_of_50\swing_model_run33.h5
49,0.7516778707504272,0.7411649823188782,model/best_of_50\swing_model_run49.h5
23,0.744966447353363,0.6614445447921753,model/best_of_50\swing_model_run23.h5
41,0.7382550239562988,0.5986537933349609,model/best_of_50\swing_model_run41.h5
5,0.7315436005592346,0.5267019867897034,model/best_of_50\swing_model_run5.h5
16,0.7315436005592346,0.735373854637146,model/best_of_50\swing_model_run16.h5
12,0.7248322367668152,0.8326815366744995,model/best_of_50\swing_model_run12.h5
17,0.7046979665756226,0.7181229591369629,model/best_of_50\swing_model_run17.h5
11,0.6979866027832031,0.8002234101295471,model/best_of_50\swing_model_run11.h5
8,0.6711409687995911,0.948917031288147,model/best_of_50\swing_model_run8.h5
44,0.6308724880218506,0.8997333645820618,model/best_of_50\swing_model_run44.h5
32,0.6040268540382385,0.891244649887085,model/best_of_50\swing_model_run32.h5
