Frame,L0_x,L0_y,L1_x,L1_y,L2_x,L2_y,L3_x,L3_y,L4_x,L4_y,L5_x,L5_y,L6_x,L6_y,L7_x,L7_y,L8_x,L8_y,L9_x,L9_y,L10_x,L10_y,L11_x,L11_y,L12_x,L12_y,L13_x,L13_y,L14_x,L14_y,L15_x,L15_y,L16_x,L16_y,L17_x,L17_y,L18_x,L18_y,L19_x,L19_y,L20_x,L20_y,L21_x,L21_y,L22_x,L22_y,L23_x,L23_y,L24_x,L24_y,L25_x,L25_y,L26_x,L26_y,L27_x,L27_y,L28_x,L28_y,L29_x,L29_y,L30_x,L30_y,L31_x,L31_y,L32_x,L32_y
10,978.23,715.83,961.79,713.6,960.37,715.0,958.88,716.36,962.05,714.29,960.97,716.03,959.8,717.85,952.48,735.07,953.59,736.03,984.96,730.91,984.78,731.38,992.89,794.92,1018.46,791.96,1091.5,803.04,1123.69,784.91,1178.0,783.7,1212.7,766.08,1205.85,772.18,1237.14,761.84,1211.69,772.87,1237.3,759.13,1199.31,779.91,1230.58,761.53,1170.37,892.42,1180.57,912.88,1307.47,845.06,1330.27,853.16,1449.14,868.32,1501.06,880.49,1471.73,882.9,1526.39,899.3,1480.26,799.48,1523.98,807.17
11,978.23,715.83,961.79,713.59,960.37,714.99,958.88,716.37,962.05,714.28,960.97,716.01,959.79,717.83,952.48,735.09,953.57,736.05,984.96,730.9,984.79,731.37,992.98,794.94,1018.34,791.99,1091.59,802.86,1123.68,785.01,1179.11,783.38,1212.62,766.29,1207.31,772.1,1237.07,761.94,1212.68,772.88,1237.2,759.2,1201.71,780.01,1230.48,761.65,1170.37,892.61,1180.44,912.88,1307.45,845.08,1330.4,853.27,1449.74,868.62,1501.06,880.74,1471.8,883.16,1526.4,899.81,1481.22,799.89,1524.15,808.37
12,978.27,715.85,961.8,713.59,960.38,714.99,958.89,716.38,962.07,714.27,960.99,716.0,959.8,717.83,952.47,735.14,953.57,736.09,985.02,730.92,984.85,731.38,993.17,794.94,1018.32,792.13,1091.6,802.58,1123.64,785.17,1181.46,783.11,1212.54,766.43,1208.6,771.95,1237.06,762.06,1213.79,772.87,1237.19,759.31,1203.39,780.04,1230.46,761.78,1170.38,892.64,1180.34,912.92,1307.48,845.08,1330.46,853.31,1450.31,868.99,1501.11,881.07,1472.02,883.47,1526.59,900.47,1481.96,800.68,1524.67,809.13
13,978.45,715.99,961.87,713.6,960.45,715.02,958.94,716.43,962.14,714.28,961.05,716.01,959.86,717.83,952.48,735.26,953.59,736.16,985.14,731.06,984.95,731.51,993.36,795.11,1018.31,792.14,1091.85,802.53,1123.69,785.24,1182.66,782.58,1212.54,766.51,1208.82,771.76,1237.02,762.11,1214.04,772.68,1237.13,759.34,1204.21,779.79,1230.43,761.83,1170.41,892.87,1180.31,912.87,1307.5,845.23,1330.43,853.35,1450.78,869.52,1501.12,881.35,1472.36,883.97,1526.65,900.91,1482.24,800.97,1524.86,809.44
14,978.54,716.16,961.9,713.65,960.48,715.08,958.97,716.52,962.17,714.33,961.08,716.05,959.89,717.87,952.49,735.44,953.61,736.31,985.22,731.24,985.03,731.67,993.48,795.33,1018.35,792.17,1091.87,802.61,1123.87,785.37,1182.14,782.57,1212.56,766.56,1208.49,771.87,1237.03,762.17,1213.76,772.74,1237.13,759.39,1204.07,779.83,1230.44,761.87,1170.42,893.15,1180.3,912.84,1307.49,845.39,1330.31,853.47,1450.75,869.75,1501.04,881.66,1472.36,884.11,1526.64,901.27,1482.2,801.09,1524.86,809.48
15,978.59,716.37,961.9,713.76,960.48,715.2,958.97,716.67,962.17,714.42,961.08,716.14,959.89,717.97,952.49,735.67,953.61,736.49,985.3,731.49,985.09,731.91,993.71,795.56,1018.36,792.37,1092.63,802.73,1123.95,785.54,1182.5,782.66,1212.58,766.66,1208.39,772.02,1237.02,762.29,1213.66,772.8,1237.11,759.48,1204.13,779.84,1230.44,761.95,1170.49,893.57,1180.3,912.86,1307.49,845.8,1329.99,853.65,1450.55,869.86,1500.94,881.91,1472.34,884.13,1526.56,901.51,1482.14,801.23,1524.85,809.63
16,978.59,716.56,961.87,713.93,960.45,715.38,958.95,716.87,962.13,714.61,961.04,716.34,959.85,718.18,952.48,735.88,953.59,736.72,985.31,731.69,985.09,732.13,994.5,795.71,1018.34,792.57,1093.53,802.89,1123.98,785.74,1182.87,782.67,1212.59,766.77,1208.6,772.13,1237.01,762.33,1213.84,772.78,1237.1,759.51,1204.48,779.73,1230.45,762.0,1170.66,893.96,1180.36,912.94,1307.48,846.72,1329.77,853.92,1449.99,869.99,1500.81,882.01,1472.08,884.18,1526.43,901.6,1482.01,801.27,1524.82,809.66
17,978.56,716.67,961.81,714.1,960.39,715.56,958.9,717.08,962.04,714.82,960.95,716.59,959.76,718.46,952.45,736.13,953.53,737.09,985.31,731.81,985.09,732.29,994.92,795.82,1018.34,792.69,1093.64,802.93,1124.17,785.82,1182.61,782.7,1212.61,766.94,1208.46,772.2,1237.01,762.4,1213.71,772.83,1237.1,759.63,1204.39,779.77,1230.45,762.23,1170.73,894.51,1180.37,913.08,1307.41,847.43,1329.39,854.03,1449.66,870.41,1500.74,882.06,1471.98,884.38,1526.41,901.7,1481.9,801.54,1524.81,809.66
18,978.56,716.85,961.77,714.38,960.36,715.87,958.87,717.42,962.0,715.11,960.9,716.89,959.71,718.77,952.43,736.47,953.5,737.42,985.31,731.99,985.09,732.48,995.24,795.9,1018.3,792.91,1093.86,802.96,1124.28,785.94,1181.96,782.74,1212.68,767.07,1208.35,772.25,1237.02,762.43,1213.62,772.87,1237.12,759.73,1204.3,779.8,1230.49,762.42,1170.84,894.82,1180.38,913.19,1307.4,847.78,1329.32,854.15,1449.49,870.67,1500.75,882.12,1471.96,884.44,1526.44,901.79,1481.74,801.67,1524.81,809.65
19,978.6,717.0,961.77,714.55,960.36,716.06,958.87,717.64,962.0,715.26,960.9,717.03,959.71,718.9,952.42,736.71,953.5,737.57,985.38,732.09,985.14,732.58,995.46,796.07,1018.23,793.07,1094.42,803.43,1124.53,786.22,1182.42,782.99,1213.07,767.27,1208.78,772.32,1237.15,762.48,1214.02,772.91,1237.23,759.76,1204.87,779.81,1230.7,762.5,1171.03,895.37,1180.48,913.3,1307.45,848.04,1329.32,854.21,1449.49,870.73,1500.75,882.15,1472.11,884.44,1526.44,901.91,1481.73,801.86,1524.84,809.71
