Frame,L0_x,L0_y,L1_x,L1_y,L2_x,L2_y,L3_x,L3_y,L4_x,L4_y,L5_x,L5_y,L6_x,L6_y,L7_x,L7_y,L8_x,L8_y,L9_x,L9_y,L10_x,L10_y,L11_x,L11_y,L12_x,L12_y,L13_x,L13_y,L14_x,L14_y,L15_x,L15_y,L16_x,L16_y,L17_x,L17_y,L18_x,L18_y,L19_x,L19_y,L20_x,L20_y,L21_x,L21_y,L22_x,L22_y,L23_x,L23_y,L24_x,L24_y,L25_x,L25_y,L26_x,L26_y,L27_x,L27_y,L28_x,L28_y,L29_x,L29_y,L30_x,L30_y,L31_x,L31_y,L32_x,L32_y
10,235.9,205.73,241.84,196.03,241.35,195.33,240.72,194.46,240.82,195.25,239.77,194.16,238.6,192.9,228.57,188.17,225.49,186.81,225.64,209.2,224.45,208.15,183.3,207.92,187.71,217.86,170.33,266.95,173.72,296.26,178.25,313.77,184.07,358.07,180.83,326.7,185.59,372.89,182.84,327.08,188.3,372.68,181.06,325.54,186.83,368.43,112.01,313.3,102.46,320.45,137.42,405.11,130.16,427.64,130.7,491.55,113.54,531.18,123.45,500.39,102.21,544.9,168.56,510.06,155.83,553.22
11,236.2,205.78,242.11,196.03,241.57,195.33,240.88,194.44,241.23,195.29,240.26,194.24,239.17,193.04,228.57,188.04,225.97,186.97,225.82,209.24,224.83,208.33,183.3,207.91,187.46,218.07,171.15,267.23,173.7,296.5,178.3,314.01,184.08,358.45,180.9,326.88,185.59,373.06,182.83,327.23,188.27,372.81,181.08,325.81,186.83,368.64,112.01,313.34,102.44,320.47,136.93,405.26,130.1,427.89,130.17,491.84,113.54,531.08,123.37,500.12,102.21,544.76,167.73,510.05,155.25,552.4
12,236.35,205.86,242.19,196.04,241.63,195.33,240.92,194.43,241.42,195.35,240.51,194.33,239.49,193.18,228.57,187.94,226.28,187.11,225.92,209.3,225.08,208.5,183.22,207.9,187.29,218.08,171.28,267.48,173.67,296.5,178.29,313.99,184.09,358.5,180.9,326.93,185.6,373.1,182.8,327.21,188.27,372.84,181.08,325.81,186.83,368.71,112.0,313.4,102.4,320.47,136.66,405.58,130.07,427.95,129.91,492.58,113.51,531.08,123.3,500.1,102.18,544.74,167.24,510.16,154.7,552.03
13,236.59,206.0,242.29,196.09,241.72,195.36,240.98,194.44,241.58,195.46,240.7,194.47,239.7,193.36,228.57,187.92,226.47,187.23,226.11,209.43,225.35,208.73,183.22,207.93,187.07,218.06,171.34,267.8,173.55,296.55,178.26,314.34,184.09,358.76,180.65,329.54,185.6,373.21,182.77,327.51,188.26,372.93,181.08,326.12,186.82,368.86,112.0,313.43,102.38,320.43,136.59,405.7,130.05,428.0,129.67,492.94,113.47,531.05,123.17,500.01,102.17,544.67,167.05,510.17,154.52,551.79
14,236.7,206.26,242.33,196.23,241.76,195.46,241.02,194.5,241.64,195.71,240.78,194.76,239.8,193.68,228.57,187.92,226.57,187.43,226.25,209.68,225.5,209.07,183.22,207.97,186.85,218.27,171.31,268.15,173.38,296.62,177.89,316.4,184.08,359.07,180.33,331.06,185.6,373.29,182.77,332.5,188.23,373.01,181.06,326.61,186.81,369.01,112.18,313.45,102.37,320.36,136.59,405.69,130.04,427.99,129.53,493.06,113.44,530.95,123.12,499.7,102.19,544.53,167.07,510.03,154.43,551.54
15,236.72,206.51,242.33,196.4,241.76,195.6,241.02,194.6,241.65,195.99,240.8,195.08,239.82,194.04,228.58,187.96,226.61,187.67,226.31,209.89,225.59,209.37,183.24,207.98,186.79,218.53,171.25,268.6,173.24,296.73,177.53,317.39,184.05,359.26,180.07,331.91,185.56,373.36,182.76,334.32,188.13,373.16,180.68,329.34,186.74,369.13,112.22,313.45,102.37,320.32,136.6,405.69,130.04,427.97,129.4,493.13,113.42,530.81,123.05,499.52,102.2,544.43,167.08,509.79,154.14,551.36
16,236.71,206.7,242.29,196.56,241.71,195.73,240.97,194.71,241.64,196.23,240.79,195.34,239.82,194.32,228.55,188.03,226.61,187.87,226.32,210.0,225.59,209.54,183.13,207.98,186.8,218.61,171.08,268.91,173.2,296.73,177.26,318.3,184.05,359.38,179.89,332.71,185.54,373.39,182.76,335.55,188.07,373.23,180.43,331.02,186.71,369.18,112.21,313.45,102.4,320.3,136.6,405.69,130.05,428.05,128.98,493.62,113.39,530.77,122.98,499.52,102.19,544.42,167.07,509.59,153.87,551.22
17,236.67,206.78,242.22,196.67,241.64,195.83,240.89,194.79,241.61,196.39,240.77,195.52,239.81,194.51,228.51,188.09,226.59,188.0,226.29,210.03,225.58,209.6,183.05,207.96,186.8,218.6,170.88,269.14,173.12,296.65,177.06,318.62,184.05,359.4,179.76,332.92,185.52,373.39,182.75,335.92,188.03,373.24,180.26,331.62,186.68,369.18,112.21,313.45,102.39,320.22,136.6,405.67,130.05,428.13,128.79,493.81,113.34,530.75,122.86,499.54,101.98,544.48,166.81,509.93,153.45,543.76
18,236.62,206.87,242.13,196.78,241.55,195.92,240.8,194.86,241.56,196.54,240.75,195.69,239.79,194.69,228.44,188.14,226.56,188.12,226.25,210.05,225.56,209.66,182.97,207.95,186.79,218.65,170.77,269.23,172.95,296.54,176.98,318.89,184.03,359.38,179.65,333.05,185.44,373.36,182.75,336.13,187.95,373.21,180.16,331.91,186.62,369.16,112.17,313.45,102.33,320.16,136.61,405.6,130.01,428.11,128.61,494.01,113.32,530.69,122.75,499.56,101.78,544.5,166.55,510.2,153.36,541.33
19,236.53,206.94,242.04,196.87,241.46,196.0,240.71,194.94,241.49,196.64,240.69,195.79,239.75,194.79,228.37,188.18,226.47,188.16,226.19,210.08,225.5,209.71,182.96,207.98,186.76,218.65,170.77,269.29,172.72,296.28,176.96,319.16,183.98,359.36,179.63,333.29,185.33,373.32,182.79,336.45,187.9,373.17,180.15,332.19,186.58,369.15,112.14,313.45,102.18,320.06,136.63,405.53,129.9,428.09,128.56,494.29,113.28,530.67,122.63,499.6,101.57,544.51,166.49,510.55,153.29,540.46
