Frame,DetectedPhase,Comment
273,Setup,Left arm too bent
274,Setup,Left arm too bent
275,Setup,Left arm too bent
276,Setup,Left arm too bent
277,Setup,Left arm too bent
278,Backswing,Left arm too bent
279,Backswing,Left arm too bent
280,Backswing,Left arm too bent
281,Backswing,Left arm too bent
282,Backswing,Left arm too bent
283,Backswing,Left arm too bent
284,Backswing,Left arm too bent
285,Backswing,Left arm too bent
286,Backswing,Left arm too bent
287,Backswing,Left arm too bent
288,Backswing,Left arm too bent
289,Backswing,Left arm too bent
290,Backswing,Left arm too bent
291,Backswing,Left arm too bent
292,Backswing,Left arm too bent
293,Backswing,Left arm too bent
294,Backswing,Left arm too bent
295,Backswing,Left arm too bent
296,Backswing,Left arm too bent
297,Backswing,Left arm too bent
298,Backswing,Left arm too bent
299,Backswing,Left arm too bent
300,Backswing,Left arm too bent
301,Backswing,Left arm too bent
302,Backswing,Left arm too bent
303,Backswing,Left arm too bent
304,Backswing,Left arm too bent
305,Backswing,Left arm too bent
306,Backswing,Left arm too bent
307,Backswing,Left arm too bent
308,Backswing,Left arm too bent
309,Backswing,Left arm too bent
310,Backswing,Left arm too bent
311,Backswing,Left arm too bent
312,Backswing,Left arm too bent
313,Backswing,Left arm too bent
314,Backswing,Left arm too bent
315,Backswing,Left arm too bent
316,Backswing,Left arm too bent
317,Backswing,Left arm too bent
318,Backswing,Left arm too bent
319,Backswing,Left arm too bent
320,Backswing,Left arm too bent
321,Backswing,Left arm too bent
322,Backswing,Left arm too bent
323,Backswing,Left arm too bent
324,Backswing,Left arm too bent
325,Backswing,Left arm too bent
326,Backswing,Left arm too bent
327,Backswing,Left arm too bent
